candidate_id,feed_id,actor_id,matched_terms,item_type,title,published_or_modified,url,relevance_reason,recommended_action,status,review_notes
UPD-MITRE-G0059-2eecb5256c,FEED-MITRE-ATTACK-ENTERPRISE,G0059,APT35; COBALT ILLUSION; Charming Kitten; Magic Hound; Mint Sandstorm; Phosphorus; TA453,ATT&CK intrusion-set taxonomy update,Magic Hound,2026-05-12,https://attack.mitre.org/groups/G0059,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G0069-03689cb0da,FEED-MITRE-ATTACK-ENTERPRISE,G0069,Mango Sandstorm; MuddyWater; Seedworm; Static Kitten; TEMP.Zagros,ATT&CK intrusion-set taxonomy update,MuddyWater,2026-05-12,https://attack.mitre.org/groups/G0069,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G0087-01a9c7eebf,FEED-MITRE-ATTACK-ENTERPRISE,G0087,APT39; Chafer; ITG07; Remix Kitten,ATT&CK intrusion-set taxonomy update,APT39,2024-04-11,https://attack.mitre.org/groups/G0087,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G1001-14a09dbf66,FEED-MITRE-ATTACK-ENTERPRISE,G1001,HEXANE; Lyceum; Siamesekitten; Spirlin,ATT&CK intrusion-set taxonomy update,HEXANE,2026-05-12,https://attack.mitre.org/groups/G1001,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G1028-581b0024c5,FEED-MITRE-ATTACK-ENTERPRISE,G1028,APT-C-23; Arid Viper; Desert Falcon; Grey Karkadann; Mantis; TAG-63,ATT&CK intrusion-set taxonomy update,APT-C-23,2024-11-17,https://attack.mitre.org/groups/G1028,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G1030-e96f8e578d,FEED-MITRE-ATTACK-ENTERPRISE,G1030,AMERICIUM; Agonizing Serpens; Agrius; BlackShadow; Pink Sandstorm,ATT&CK intrusion-set taxonomy update,Agrius,2024-08-29,https://attack.mitre.org/groups/G1030,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G1044-e3ed64de89,FEED-MITRE-ATTACK-ENTERPRISE,G1044,APT42,ATT&CK intrusion-set taxonomy update,APT42,2026-05-12,https://attack.mitre.org/groups/G1044,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-HANDALA-72d63c6f04,FEED-MITRE-ATTACK-ENTERPRISE,HANDALA,BANISHED KITTEN; COBALT MYSTIQUE; HANDALA; Handala Hack; Homeland Justice; Red Sandstorm,ATT&CK intrusion-set taxonomy update,VOID MANTICORE,2026-05-12,https://attack.mitre.org/groups/G1055,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-IMPERIALKITTEN-bbb6cea576,FEED-MITRE-ATTACK-ENTERPRISE,IMPERIALKITTEN,CURIUM; Crimson Sandstorm; TA456; Tortoise Shell; Yellow Liderc,ATT&CK intrusion-set taxonomy update,CURIUM,2024-10-02,https://attack.mitre.org/groups/G1012,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-LEBANESECEDAR-872e0d8dcf,FEED-MITRE-ATTACK-ENTERPRISE,LEBANESECEDAR,Lebanese Cedar; Volatile Cedar,ATT&CK intrusion-set taxonomy update,Volatile Cedar,2025-04-16,https://attack.mitre.org/groups/G0123,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-PIONEERKITTEN-03d5c9032e,FEED-MITRE-ATTACK-ENTERPRISE,PIONEERKITTEN,Fox Kitten; Lemon Sandstorm; Parisite; Pioneer Kitten; RUBIDIUM; UNC757,ATT&CK intrusion-set taxonomy update,Fox Kitten,2026-05-12,https://attack.mitre.org/groups/G0117,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-TA402-976749cc0a,FEED-MITRE-ATTACK-ENTERPRISE,TA402,Frankenstein,ATT&CK intrusion-set taxonomy update,Frankenstein,2025-04-18,https://attack.mitre.org/groups/G0101,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-TA402-65b917d7e7,FEED-MITRE-ATTACK-ENTERPRISE,TA402,Gaza Cybergang; Molerats,ATT&CK intrusion-set taxonomy update,Molerats,2024-11-17,https://attack.mitre.org/groups/G0021,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-WIRTE-7cc1aa86db,FEED-MITRE-ATTACK-ENTERPRISE,WIRTE,Ashen Lepus; WIRTE,ATT&CK intrusion-set taxonomy update,WIRTE,2026-04-23,https://attack.mitre.org/groups/G0090,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-CONNECTOR-FEED-OPENCTI-OPTIONAL,FEED-OPENCTI-OPTIONAL,,,Optional connector status,OpenCTI indicators and reports,2026-05-16,https://docs.opencti.io/latest/reference/api/,Local/community OpenCTI instance can be used for enrichment when OPENCTI_TOKEN is configured.,"Keep API keys in local environment or GitHub Actions secrets. Commit only reviewed summaries, not raw private feed data.",Not configured,Expected secret/env var: OPENCTI_TOKEN
UPD-CONNECTOR-FEED-OTX-OPTIONAL,FEED-OTX-OPTIONAL,,,Optional connector status,AlienVault OTX pulses,2026-05-16,https://otx.alienvault.com/api/v1/pulses/subscribed,AlienVault OTX can be used for enrichment when OTX_API_KEY is configured.,"Keep API keys in local environment or GitHub Actions secrets. Commit only reviewed summaries, not raw private feed data.",Not configured,Expected secret/env var: OTX_API_KEY
